tree_no,DBH,DBHtrt,INNOC_TYPE,tyvexYN,preYN,process,rand,proc,process2019Feb
1,NA,S,MeJa,Y,N,,0.857183477,N,
2,NA,S,EAB,Y,N,,0.315697852,N,
3,NA,S,MeJa,N,Y,7/31/2018,0.849375679,Y,2/20/2019
4,NA,S,control,N,Y,7/31/2018,0.742105736,Y,2/20/2019
5,NA,S,MeJa,Y,N,,0.380224898,N,2/20/2019
6,NA,S,EAB,Y,Y,7/31/2018,0.062263341,Y,2/20/2019
7,NA,S,control,N,Y,,0.661708441,N,
8,NA,S,control,Y,N,,0.63417981,N,2/20/2019
9,NA,S,control,Y,N,,0.351170394,N,
10,NA,S,MeJa,N,Y,,0.518709711,N,
11,NA,S,EAB,Y,Y,,0.490255409,N,2/20/2019
12,NA,S,EAB,Y,N,,0.388967217,N,
13,NA,SM,MeJa,Y,Y,,0.52055578,N,2/20/2019
14,NA,SM,control,N,N,,0.818044361,N,2/20/2019
15,NA,SM,EAB,Y,N,,0.854335588,N,
16,NA,SM,MeJa,N,Y,7/31/2018,0.396228438,Y,2/20/2019
17,NA,SM,MeJa,N,N,,0.819840666,N,
18,NA,SM,EAB,Y,Y,,0.454258216,N,2/20/2019
19,NA,SM,EAB,Y,N,,0.973641229,N,
20,NA,SM,control,N,N,,0.017317355,N,
21,NA,SM,EAB,Y,Y,7/31/2018,0.67095951,Y,2/20/2019
22,NA,SM,MeJa,Y,N,,0.652154791,N,
23,NA,SM,control,Y,Y,7/31/2018,0.269181394,Y,2/20/2019
24,NA,SM,control,Y,Y,,0.608759885,N,
25,NA,ML,MeJa,Y,Y,,0.182596238,N,2/20/2019
26,NA,ML,MeJa,Y,N,,0.972906941,N,
27,NA,ML,EAB,Y,N,,0.981459242,N,
28,NA,ML,MeJa,N,Y,7/31/2018,0.867233838,Y,2/20/2019
29,NA,ML,EAB,Y,N,,0.017291689,N,
30,NA,ML,MeJa,N,N,,0.940467095,N,
31,NA,ML,control,N,N,,0.216878182,N,2/20/2019
32,NA,ML,EAB,Y,Y,,0.874955262,N,2/20/2019
33,NA,ML,control,Y,Y,,0.808179453,N,
34,NA,ML,control,Y,Y,7/31/2018,0.834897451,Y,2/20/2019
35,NA,ML,EAB,Y,Y,7/31/2018,0.802170327,Y,2/20/2019
36,NA,ML,control,N,N,,0.264096098,N,
37,NA,L,MeJa,N,N,,0.643626116,N,
38,NA,L,control,Y,Y,,0.178467761,N,
39,NA,L,EAB,Y,N,,0.205139589,N,
40,NA,L,control,N,N,,0.177997781,N,2/20/2019
41,NA,L,MeJa,Y,Y,7/31/2018,0.950448121,Y,2/20/2019
42,NA,L,control,Y,Y,7/31/2018,0.493752279,Y,2/20/2019
43,NA,L,EAB,Y,Y,,0.337037191,N,2/20/2019
44,NA,L,EAB,Y,Y,7/31/2018,0.414181517,Y,2/20/2019
45,NA,L,MeJa,Y,N,,0.581766532,N,
46,NA,L,MeJa,N,Y,,0.24560048,N,2/20/2019
47,NA,L,control,N,N,,0.952140323,N,
48,NA,L,EAB,Y,N,,0.478682986,N,
